STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
2145,2145,2,,m,INA,,,,True,,,,-43.5280555555556,-71.6002777777778,,Automatic,Argentina,INA,
2146,2146,2,,m,INA,,,,True,,,,-51.8947222222222,-71.5975,,Automatic,Argentina,INA,
2147,2147,2,,m,INA,,,,True,,,,-51.9216666666667,-71.4947222222222,,Automatic,Argentina,INA,
2148,2148,2,,m,INA,,,,True,,,,-51.6883333333333,-69.6555555555556,,Automatic,Argentina,INA,
2149,2149,2,,m,INA,,,,True,,,,-25.6766666666667,-54.4213888888889,,Automatic,Argentina,INA,Rio Parana
2150,2150,2,,m,INA,,,,True,,,,-29.8458333333333,-57.675,,Automatic,Argentina,INA,Rio Uruguay
2151,2151,2,,m,INA,,,,True,,,,-38.4625,-58.7588888888889,,Automatic,Argentina,INA,
2152,2152,2,,m,INA,,,,True,,,,-43.2761111111111,-65.2733333333333,,Automatic,Argentina,INA,
2154,2154,2,,m,INA,,,,True,,,,-23.1405555555556,-64.1969444444445,,Automatic,Argentina,INA,Rio Paraguay
2157,2157,2,,m,INA,,,,True,,,,-43.8886111111111,-68.3983333333333,,Automatic,Argentina,INA,
2158,2158,2,,m,INA,,,,True,,,,-30.9236111111111,-59.5511111111111,,Automatic,Argentina,INA,Rio Parana
2159,2159,2,,m,INA,,,,True,,,,-41.5869444444444,-71.6836111111111,,Automatic,Argentina,INA,
2160,2160,2,,m,INA,,,,True,,,,-38.8216666666667,-64.9813888888889,,Automatic,Argentina,INA,
2161,2161,2,,m,INA,,,,True,,,,-45.6836111111111,-70.2522222222222,,Automatic,Argentina,INA,
2162,2162,2,,m,INA,,,,True,,,,-43.6997222222222,-71.3058333333333,,Automatic,Argentina,INA,
2163,2163,2,,m,INA,,,,True,,,,-45.0016666666667,-71.1680555555556,,Automatic,Argentina,INA,
2164,2164,2,,m,INA,,,,True,,,,-49.7972222222222,-72.0641666666667,,Automatic,Argentina,INA,
2165,2165,2,,m,INA,,,,True,,,,-50.2522222222222,-71.9077777777778,,Automatic,Argentina,INA,
2166,2166,2,,m,INA,,,,True,,,,-27.1008333333333,-65.6361111111111,,Automatic,Argentina,INA,
2175,2175,2,,m,INA,,,,True,,,,-25.4136111111111,-63.9761111111111,,Automatic,Argentina,INA,Rio Parana
2177,2177,2,,m,INA,,,,True,,,,-25.3452777777778,-64.045,,Automatic,Argentina,INA,Rio Parana
2178,2178,2,,m,INA,,,,True,,,,-25.5905555555556,-53.995,,Automatic,Argentina,INA,Rio Parana
2179,2179,2,,m,INA,,,,True,,,,-43.7219444444444,-71.2338888888889,,Automatic,Argentina,INA,
2180,2180,2,,m,INA,,,,True,,,,-35.1686111111111,-66.4963888888889,,Automatic,Argentina,INA,
2181,2181,2,,m,INA,,,,True,,,,-43.6983333333333,-66.475,,Automatic,Argentina,INA,
2183,2183,2,,m,INA,,,,True,,,,-32.9152777777778,-69.2377777777778,,Automatic,Argentina,INA,
2184,2184,2,,m,INA,,,,True,,,,-41.9425,-71.5605555555556,,Automatic,Argentina,INA,
2185,2185,2,,m,INA,,,,True,,,,-29.795,-62.8061111111111,,Automatic,Argentina,INA,
2187,2187,2,,m,INA,,,,True,,,,-22.3266666666667,-64.1263888888889,,Automatic,Argentina,INA,Rio Paraguay
2188,2188,2,,m,INA,,,,True,,,,-26.3341666666667,-59.3625,,Automatic,Argentina,INA,Rio Paraguay
2193,2193,2,,m,INA,,,,True,,,,-25.6511111111111,-60.1280555555556,,Automatic,Argentina,INA,Rio Paraguay
2194,2194,2,,m,INA,,,,True,,,,-26.6605555555556,-58.6338888888889,,Automatic,Argentina,INA,Rio Paraguay
2196,2196,2,,m,INA,,,,True,,,,-27.9930555555556,-67.6269444444444,,Automatic,Argentina,INA,
2197,2197,2,,m,INA,,,,True,,,,-29.1058333333333,-62.5761111111111,,Automatic,Argentina,INA,Rio Parana
2198,2198,2,,m,INA,,,,True,,,,-29.0311111111111,-58.7883333333333,,Automatic,Argentina,INA,Rio Parana
2199,2199,2,,m,INA,,,,True,,,,-29.7572222222222,-59.2172222222222,,Automatic,Argentina,INA,Rio Parana
2200,2200,2,,m,INA,,,,True,,,,-33.7763888888889,-69.2725,,Automatic,Argentina,INA,
2201,2201,2,,m,INA,,,,True,,,,-27.2572222222222,-54.2355555555556,,Automatic,Argentina,INA,Rio Uruguay
2202,2202,2,,m,INA,,,,True,,,,-33.1386111111111,-64.2847222222222,,Automatic,Argentina,INA,Rio Parana
2203,2203,2,,m,INA,,7.0,8.3,True,,,,-32.3086111111111,-59.0769444444445,,Automatic,Argentina,INA,Rio Parana
2204,2204,2,,m,INA,,,,True,,,,-32.6733333333333,-60.8658333333333,,Automatic,Argentina,INA,Rio Parana
2205,2205,2,,m,INA,,,,True,,,,-31.8016666666667,-59.1261111111111,,Automatic,Argentina,INA,Rio Parana
2206,2206,2,,m,INA,,,,True,,,,-34.2880555555556,-59.7027777777778,,Automatic,Argentina,INA,Rio Parana
2207,2207,2,,m,INA,,,,True,,,,-36.8311111111111,-59.8938888888889,,Automatic,Argentina,INA,Rio de la Plata
2208,2208,2,,m,INA,,,,True,,,,-50.4261111111111,-72.7477777777778,,Automatic,Argentina,INA,
2210,2210,2,,m,INA,,,,True,,,,-38.5322222222222,-69.4125,,Automatic,Argentina,INA,
2211,2211,2,,m,INA,,,,True,,,,-34.3225,-61.3513888888889,,Automatic,Argentina,INA,Rio de la Plata
2212,2212,2,,m,INA,,,,True,,,,-34.2419444444444,-62.1211111111111,,Automatic,Argentina,INA,
2213,2213,2,,m,INA,,,,True,,,,-34.2580555555556,-61.6386111111111,,Automatic,Argentina,INA,Rio de la Plata
2215,2215,2,,m,INA,,,,True,,,,-34.2405555555556,-59.4994444444444,,Automatic,Argentina,INA,Rio Parana
2216,2216,2,,m,INA,,,,True,,,,-54.7975,-68.2255555555556,,Automatic,Argentina,INA,
2219,2219,2,,m,INA,,,,True,,,,-34.4494444444444,-62.4133333333333,,Automatic,Argentina,INA,
2220,2220,2,,m,INA,,,,True,,,,-35.1844444444444,-67.7269444444444,,Automatic,Argentina,INA,
